ward,Occurances
JAGAKARSA,126
PONDOK PINANG,119
JATIPADANG,104
PENJARINGAN,99
LEBAK BULUS,99
PONDOK KELAPA,96
PEJATEN TIMUR,93
GELORA,92
SEMPER BARAT,84
BENDUNGAN HILIR,82
DURI KEPA,80
SRENGSENG SAWAH,79
PLUIT,74
BINTARO,74
CILANDAK TIMUR,72
CILANDAK BARAT,72
CENGKARENG BARAT,71
KELAPA GADING BARAT,67
PASAR MINGGU,67
PETUKANGAN UTARA,66
KEBAGUSAN,65
PEJAGALAN,65
KAYU PUTIH,65
DUREN SAWIT,64
BANGKA,63
KELAPA GADING TIMUR,62
KEMBANGAN SELATAN,62
PESANGGRAHAN,61
CIPETE SELATAN,60
RAWA BUAYA,59
CIRACAS,59
PEGANGSAAN DUA,59
SUNTER AGUNG,59
PENGGILINGAN,58
GAMBIR,58
KEBON MANGGIS,57
RAWAJATI,56
KALIDERES,56
PULO GEBANG,63
TEBET BARAT,56
PEGADUNGAN,55
JELAMBAR,54
KEBON JERUK,53
CAKUNG BARAT,53
RAWAMANGUN,53
CIPEDAK,52
CIPULIR,52
PEJATEN BARAT,51
CENGKARENG TIMUR,51
ROROTAN,50
ANCOL,50
JOGLO,49
PONDOK LABU,49
MENTENG,49
RAGUNAN,48
KAPUK,48
CAKUNG TIMUR,48
PADEMANGAN BARAT,47
KEDOYA SELATAN,47
BUKIT DURI,46
GROGOL,45
LUBANG BUAYA,45
TEGAL ALUR,44
PALMERAH,44
CIGANJUR,44
PELA MAMPANG,44
KEDOYA UTARA,44
KEBON PALA,42
KLENDER,42
KEBON BAWANG,42
ULUJAMI,42
MAMPANG PRAPATAN,42
PETOGOGAN,41
CEMPAKA PUTIH TIMUR,41
JATINEGARA,41
PETUKANGAN SELATAN,40
PONDOK BAMBU,40
CIPETE UTARA,40
KEMBANGAN UTARA,40
CILANGKAP,39
LENTENG AGUNG,39
KALIBATA,39
BATU AMPAR,39
KALISARI,38
CAWANG,38
KAPUK MUARA,37
SEMANAN,37
TANJUNG DUREN UTARA,37
CIJANTUNG,37
KEBAYORAN LAMA UTARA,37
KEBON BARU,36
MENTENG DALAM,36
BAMBU APUS,36
CIBUBUR,35
RAWA TERATE,35
CILILITAN,35
GUNUNG SAHARI SELATAN,35
CIPINANG MELAYU,35
KAMPUNG MELAYU,33
KARET SEMANGGI,33
KEBON MELATI,33
KAMAL,33
KEMANGGISAN,33
TUGU UTARA,32
PEKAYON,32
KARET TENGSIN,32
TEBET TIMUR,32
SUKAPURA,32
DURI KOSAMBI,32
SUNTER JAYA,32
GANDARIA UTARA,32
WIJAYA KUSUMA,31
GANDARIA SELATAN,31
CIDENG,31
PADEMANGAN TIMUR,31
HALIM PERDANA KUSUMA,31
TANJUNG PRIOK,31
JOHAR BARU,31
DUREN TIGA,30
SETU,30
SRENGSENG,30
PONDOK RANGGON,30
KEBON KOSONG,30
MAKASAR,30
PULOGADUNG,33
KALIBARU,30
PONDOK KOPI,30
KELAPA DUA WETAN,29
ANGKE,29
SEMPER TIMUR,29
SUKABUMI UTARA,28
PASAR BARU,28
GONDANGDIA,28
RAMBUTAN,28
CILINCING,28
MENTENG ATAS,28
CEMPAKA PUTIH BARAT,28
CIPINANG MUARA,27
TANJUNG BARAT,27
JEMBATAN BESI,27
CIKINI,27
KRAMAT PELA,26
PINANGSIA,25
JATI,25
RAWA BADAK UTARA,28
MERUYA UTARA,25
PISANGAN TIMUR,25
KEDAUNG KALI ANGKE,25
DURI PULO,25
KEBAYORAN LAMA SELATAN,25
KRAMAT,24
PINANG RANTI,24
CIPAYUNG,24
PEKOJAN,24
PENGADEGAN,24
MANGGA DUA SELATAN,24
PULO,24
MELAWAI,24
JELAMBAR BARU,24
KRAMAT JATI,23
UTAN KAYU UTARA,23
LAGOA,23
GEDONG,23
WARAKAS,23
CIPINANG,22
PANCORAN,22
GUNUNG SAHARI UTARA,22
TANJUNG DUREN SELATAN,22
PAPANGGO,22
KEBON KACANG,21
MARUNDA,21
PETAMBURAN,21
SUSUKAN,21
KAMPUNG TENGAH,21
TANAH TINGGI,21
KAMPUNG BALI,21
GROGOL UTARA,20
MERUYA SELATAN,20
BIDARA CINA,20
TUGU SELATAN,20
ROA MALAKA,20
TOMANG,20
KARET KUNINGAN,20
KARET,20
PALMERIAM,20
GUNUNG,20
KOJA,19
PETOJO UTARA,19
MALAKA JAYA,19
BALE KAMBANG,19
CIPINANG CEMPEDAK,19
PEGANGSAAN,19
KEMAYORAN,18
CIPINANG BESAR SELATAN,18
KAMAL MUARA,18
RAWA BARAT,18
DUKUH,17
SUKABUMI SELATAN,17
CEGER,17
KOTA BAMBU UTARA,17
MANGGARAI SELATAN,17
PASEBAN,17
TANGKI,17
KUNINGAN BARAT,16
TANAH SEREAL,16
RAWASARI,16
PETOJO SELATAN,16
KWITANG,16
KRENDANG,16
MAPHAR,16
SUNGAI BAMBU,16
UJUNG MENTENG,16
KENARI,16
BUNGUR,16
TAMBORA,15
KUNINGAN TIMUR,15
KOTA BAMBU SELATAN,15
GROGOL SELATAN,15
KARTINI,15
RAWA BADAK SELATAN,15
KARANG ANYAR,14
SERDANG,14
SETIABUDI,14
KEAGUNGAN,14
TEGAL PARANG,14
KELAPA DUA,14
PASAR MANGGIS,13
SUMUR BATU,13
PISANGAN BARU,13
BARU,13
KEBON KELAPA,12
JATINEGARA KAUM,12
SLIPI,12
MANGGARAI,12
SENAYAN,12
JATIPULO,12
KALI ANYAR,12
JEMBATAN LIMA,11
CEMPAKA BARU,11
HARAPAN MULIA,11
CIPINANG BESAR UTARA,11
MUNJUL,11
KEBON SIRIH,10
TAMAN SARI,10
RAWA BUNGA,10
KAMPUNG RAWA,10
UTAN PANJANG,9
MANGGA BESAR,9
PANGADEGAN,9
GALUR,8
MALAKA SARI,8
UTAN KAYU SELATAN,8
SENEN,8
DURI SELATAN,8
CIKOKO,8
SELONG,7
DURI UTARA,7
GUNTUR,7
KRUKUT,7
BALI MESTER,7
GLODOK,5
KAYU MANIS,5
